,0,1
0,3.7200759760208356e-44,3.7200759760208356e-44
1,3.7200759760208356e-44,3.7200759760208356e-44
2,3.7200759760208356e-44,3.7200759760208356e-44
3,3.7200759760208356e-44,3.7200759760208356e-44
4,3.7200759760208356e-44,3.7200759760208356e-44
5,3.7200759760208356e-44,3.7200759760208356e-44
6,3.7200759760208356e-44,3.7200759760208356e-44
7,3.7200759760208356e-44,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
